run_id,architecture,accuracy,type,epochs
0.0,0.0,56.099998474121094,0.0,0.0
0.0,0.0,56.75,1.0,0.0
0.0,0.0,82.5,0.0,2.0
0.0,0.0,79.5,1.0,2.0
0.0,0.0,88.19999694824219,0.0,4.0
0.0,0.0,90.25,1.0,4.0
0.0,0.0,89.5999984741211,0.0,6.0
0.0,0.0,91.0,1.0,6.0
0.0,0.0,92.0,0.0,8.0
0.0,0.0,89.0,1.0,8.0
0.0,0.0,92.80000305175781,0.0,10.0
0.0,0.0,90.5,1.0,10.0
0.0,0.0,93.5,0.0,12.0
0.0,0.0,93.75,1.0,12.0
0.0,0.0,93.9000015258789,0.0,14.0
0.0,0.0,90.75,1.0,14.0
0.0,0.0,95.4000015258789,0.0,16.0
0.0,0.0,92.5,1.0,16.0
0.0,0.0,96.80000305175781,0.0,18.0
0.0,0.0,94.0,1.0,18.0
0.0,0.0,95.80000305175781,0.0,20.0
0.0,0.0,94.5,1.0,20.0
0.0,0.0,95.9000015258789,0.0,22.0
0.0,0.0,93.5,1.0,22.0
0.0,0.0,95.4000015258789,0.0,24.0
0.0,0.0,91.5,1.0,24.0
0.0,0.0,97.30000305175781,0.0,26.0
0.0,0.0,93.75,1.0,26.0
0.0,0.0,98.30000305175781,0.0,28.0
0.0,0.0,92.5,1.0,28.0
1.0,0.0,50.70000076293945,0.0,0.0
1.0,0.0,51.75,1.0,0.0
1.0,0.0,81.30000305175781,0.0,2.0
1.0,0.0,81.75,1.0,2.0
1.0,0.0,88.4000015258789,0.0,4.0
1.0,0.0,84.75,1.0,4.0
1.0,0.0,92.5,0.0,6.0
1.0,0.0,88.0,1.0,6.0
1.0,0.0,94.80000305175781,0.0,8.0
1.0,0.0,90.5,1.0,8.0
1.0,0.0,93.19999694824219,0.0,10.0
1.0,0.0,89.75,1.0,10.0
1.0,0.0,94.4000015258789,0.0,12.0
1.0,0.0,91.25,1.0,12.0
1.0,0.0,93.5,0.0,14.0
1.0,0.0,90.25,1.0,14.0
1.0,0.0,94.9000015258789,0.0,16.0
1.0,0.0,90.25,1.0,16.0
1.0,0.0,96.4000015258789,0.0,18.0
1.0,0.0,95.5,1.0,18.0
1.0,0.0,94.80000305175781,0.0,20.0
1.0,0.0,92.0,1.0,20.0
1.0,0.0,96.9000015258789,0.0,22.0
1.0,0.0,92.25,1.0,22.0
1.0,0.0,96.19999694824219,0.0,24.0
1.0,0.0,93.25,1.0,24.0
1.0,0.0,97.0,0.0,26.0
1.0,0.0,92.0,1.0,26.0
1.0,0.0,97.69999694824219,0.0,28.0
1.0,0.0,92.5,1.0,28.0
2.0,0.0,56.20000076293945,0.0,0.0
2.0,0.0,56.0,1.0,0.0
2.0,0.0,83.19999694824219,0.0,2.0
2.0,0.0,75.75,1.0,2.0
2.0,0.0,88.0,0.0,4.0
2.0,0.0,84.25,1.0,4.0
2.0,0.0,89.0999984741211,0.0,6.0
2.0,0.0,86.0,1.0,6.0
2.0,0.0,92.19999694824219,0.0,8.0
2.0,0.0,88.0,1.0,8.0
2.0,0.0,91.69999694824219,0.0,10.0
2.0,0.0,89.0,1.0,10.0
2.0,0.0,91.69999694824219,0.0,12.0
2.0,0.0,90.25,1.0,12.0
2.0,0.0,93.5,0.0,14.0
2.0,0.0,91.25,1.0,14.0
2.0,0.0,95.30000305175781,0.0,16.0
2.0,0.0,89.0,1.0,16.0
2.0,0.0,96.9000015258789,0.0,18.0
2.0,0.0,92.5,1.0,18.0
2.0,0.0,95.5999984741211,0.0,20.0
2.0,0.0,90.25,1.0,20.0
2.0,0.0,94.30000305175781,0.0,22.0
2.0,0.0,89.5,1.0,22.0
2.0,0.0,97.5999984741211,0.0,24.0
2.0,0.0,92.0,1.0,24.0
2.0,0.0,96.9000015258789,0.0,26.0
2.0,0.0,90.25,1.0,26.0
2.0,0.0,94.80000305175781,0.0,28.0
2.0,0.0,87.5,1.0,28.0
3.0,0.0,54.20000076293945,0.0,0.0
3.0,0.0,50.75,1.0,0.0
3.0,0.0,81.5,0.0,2.0
3.0,0.0,77.5,1.0,2.0
3.0,0.0,88.4000015258789,0.0,4.0
3.0,0.0,85.25,1.0,4.0
3.0,0.0,88.19999694824219,0.0,6.0
3.0,0.0,86.0,1.0,6.0
3.0,0.0,89.30000305175781,0.0,8.0
3.0,0.0,86.25,1.0,8.0
3.0,0.0,88.9000015258789,0.0,10.0
3.0,0.0,88.75,1.0,10.0
3.0,0.0,92.0,0.0,12.0
