,Run,Accuracy,Epochs,type
0,0.0,51.10000228881836,0.0,0.0
1,0.0,46.39999771118164,0.0,1.0
2,0.0,94.20000457763672,0.0,0.0
3,0.0,92.29999542236328,0.0,1.0
4,0.0,93.19999694824219,1.0,0.0
5,0.0,91.69999694824219,1.0,1.0
6,0.0,98.79999542236328,2.0,0.0
7,0.0,96.4000015258789,2.0,1.0
8,0.0,94.5999984741211,3.0,0.0
9,0.0,93.80000305175781,3.0,1.0
10,0.0,93.5999984741211,4.0,0.0
11,0.0,92.69999694824219,4.0,1.0
12,0.0,98.4000015258789,5.0,0.0
13,0.0,95.5999984741211,5.0,1.0
14,0.0,97.0,6.0,0.0
15,0.0,96.0,6.0,1.0
16,0.0,98.29999542236328,7.0,0.0
17,0.0,96.69999694824219,7.0,1.0
18,0.0,98.69999694824219,8.0,0.0
19,0.0,96.80000305175781,8.0,1.0
20,0.0,97.19999694824219,9.0,0.0
21,0.0,96.5,9.0,1.0
22,1.0,52.0,0.0,0.0
23,1.0,52.0,0.0,1.0
24,1.0,89.20000457763672,0.0,0.0
25,1.0,89.70000457763672,0.0,1.0
26,1.0,93.0999984741211,1.0,0.0
27,1.0,94.4000015258789,1.0,1.0
28,1.0,95.4000015258789,2.0,0.0
29,1.0,95.80000305175781,2.0,1.0
30,1.0,94.5999984741211,3.0,0.0
31,1.0,94.5999984741211,3.0,1.0
32,1.0,96.5,4.0,0.0
33,1.0,96.20000457763672,4.0,1.0
34,1.0,97.39999389648438,5.0,0.0
35,1.0,97.29999542236328,5.0,1.0
36,1.0,97.89999389648438,6.0,0.0
37,1.0,97.5,6.0,1.0
38,1.0,98.19999694824219,7.0,0.0
39,1.0,96.9000015258789,7.0,1.0
40,1.0,98.29999542236328,8.0,0.0
41,1.0,97.0999984741211,8.0,1.0
42,1.0,97.89999389648438,9.0,0.0
43,1.0,96.80000305175781,9.0,1.0
44,2.0,50.30000305175781,0.0,0.0
45,2.0,47.000003814697266,0.0,1.0
46,2.0,96.69999694824219,0.0,0.0
47,2.0,96.5999984741211,0.0,1.0
48,2.0,97.89999389648438,1.0,0.0
49,2.0,98.0,1.0,1.0
50,2.0,98.5,2.0,0.0
51,2.0,97.5999984741211,2.0,1.0
52,2.0,97.19999694824219,3.0,0.0
53,2.0,97.39999389648438,3.0,1.0
54,2.0,98.29999542236328,4.0,0.0
55,2.0,98.5,4.0,1.0
56,2.0,98.29999542236328,5.0,0.0
57,2.0,97.69999694824219,5.0,1.0
58,2.0,97.69999694824219,6.0,0.0
59,2.0,97.89999389648438,6.0,1.0
60,2.0,98.4000015258789,7.0,0.0
61,2.0,98.19999694824219,7.0,1.0
62,2.0,98.69999694824219,8.0,0.0
63,2.0,98.4000015258789,8.0,1.0
64,2.0,98.5999984741211,9.0,0.0
65,2.0,98.0999984741211,9.0,1.0
