,Run,Accuracy,Epochs,type
0,0.0,51.30000305175781,0.0,0.0
1,0.0,47.70000076293945,0.0,1.0
2,0.0,51.30000305175781,0.0,0.0
3,0.0,47.70000076293945,0.0,1.0
4,0.0,48.69999694824219,1.0,0.0
5,0.0,52.29999923706055,1.0,1.0
6,0.0,68.0,2.0,0.0
7,0.0,68.0,2.0,1.0
8,0.0,72.0,3.0,0.0
9,0.0,70.5999984741211,3.0,1.0
10,0.0,76.9000015258789,4.0,0.0
11,0.0,74.5,4.0,1.0
12,0.0,79.69999694824219,5.0,0.0
13,0.0,79.5,5.0,1.0
14,0.0,84.89999389648438,6.0,0.0
15,0.0,84.89999389648438,6.0,1.0
16,0.0,88.4000015258789,7.0,0.0
17,0.0,86.80000305175781,7.0,1.0
18,0.0,80.79999542236328,8.0,0.0
19,0.0,78.5,8.0,1.0
20,0.0,83.0,9.0,0.0
21,0.0,79.19999694824219,9.0,1.0
22,1.0,50.099998474121094,0.0,0.0
23,1.0,49.099998474121094,0.0,1.0
24,1.0,50.099998474121094,0.0,0.0
25,1.0,49.099998474121094,0.0,1.0
26,1.0,49.900001525878906,1.0,0.0
27,1.0,50.900001525878906,1.0,1.0
28,1.0,49.900001525878906,2.0,0.0
29,1.0,50.900001525878906,2.0,1.0
30,1.0,67.5,3.0,0.0
31,1.0,69.0,3.0,1.0
32,1.0,74.19999694824219,4.0,0.0
33,1.0,73.69999694824219,4.0,1.0
34,1.0,76.80000305175781,5.0,0.0
35,1.0,78.19999694824219,5.0,1.0
36,1.0,84.5999984741211,6.0,0.0
37,1.0,84.89999389648438,6.0,1.0
38,1.0,83.70000457763672,7.0,0.0
39,1.0,82.0999984741211,7.0,1.0
40,1.0,88.5,8.0,0.0
41,1.0,88.19999694824219,8.0,1.0
42,1.0,91.19999694824219,9.0,0.0
43,1.0,91.19999694824219,9.0,1.0
